"","V1"
"'family",1
"'fancy",1
"'faust'",2
"'filling",1
"'financial",1
"'fine",1
"'fix",1
"'flash",1
"'food",1
"'former",1
"'forrest",1
"'foster'",1
"'free",1
"'freebie'",1
"'fresh",1
"'fundamental",1
"'funny'",1
"'g'",1
"'games",1
"'gee",1
"'geez",1
"'general",1
"'genericide'",1
"'get",1
"'gifts'",1
"'give",2
"'glowing'",1
"'go",4
"'go'",1
"'god'",1
"'going",1
"'gold",1
"'good",4
"'gosh",2
"'gotcha'",1
"'government",1
"'great",1
"'greater",1
"'guilt'",1
"'ha",1
"'half'",1
"'hangman'",1
"'happy",2
"'harry",2
"'have",1
"'he",2
"'health",1
"'health'",1
"'healthy",1
"'healthy'",1
"'heated'",1
"'heating",1
"'hedges'",1
"'help",1
"'here",2
"'here's",1
"'hey",16
"'hicky'",1
"'hide",1
"'high",1
"'honeymoon",1
"'hope",1
"'hot",1
"'house",1
"'how",12
"'i'd",2
"'i'll",1
"'i'm",10
"'i've",2
"'idol'",1
"'if",8
"'im",1
"'improved",1
"'in",4
"'individual'",1
"'infinite",1
"'innocence'''",1
"'is",8
"'it",7
"'it'",2
"'it's",2
"'jackie",1
"'judge",1
"'junior",1
"'just",5
"'keep",1
"'kenny",1
"'keys",1
"'kids",1
"'know'",1
"'kurt",1
"'landscapeworthy",1
"'language",1
"'lap",1
"'larkin",1
"'law",1
"'lawrence",1
"'lazy",1
"'leaning'",1
"'lefthanded",1
"'less",1
"'let",1
"'let's",5
"'listen",2
"'little",1
"'look",3
"'love'",1
"'lulu'",1
"'m'",1
"'machetetype'",1
"'made",1
"'major",2
"'man",3
"'man's",1
"'margaret",1
"'marie",1
"'mean",1
"'medical",2
"'mike",1
"'millionaires",1
"'millions",1
"'mobydick'",1
"'mom",1
"'monday",1
"'monk'",1
"'most",1
"'mr",2
"'music",1
"'my",4
"'n'",26
"'nam",1
"'nascent'",1
"'ncaa",1
"'never",3
"'new",2
"'next",1
"'nick",1
"'no",7
"'no'",6
"'north'",1
"'not",1
"'now",1
"'nuff",1
"'nympheas'",1
"'o'",1
"'o'o",3
"'occupy",1
"'offsite'",1
"'oh",30
"'ohhhhh'",1
"'ok",4
"'ok'",1
"'okay",1
"'okay'",1
"'ol",1
"'old",1
"'old'",1
"'omigosh",1
"'onshore'",1
"'oohs'",1
"'oooh",1
"'orange",1
"'original'",1
"'our",1
"'ovi'",1
"'parks",1
"'party",1
"'patience",1
"'peace",1
"'people",1
"'perhaps",1
"'philadelphia'",1
"'pick'em'",1
"'picked",1
"'pig",1
"'play",1
"'please",1
"'poor",1
"'popup'",1
"'portlandia'",1
"'postracial",1
"'pow'",2
"'practice'",1
"'pray'",1
"'pre'",1
"'pro'",1
"'project",2
"'put",1
"'r'",2
"'real",1
"'real'",1
"'rebuild'",1
"'remain",1
"'renewable'",1
"'respect'",1
"'right",1
"'romney",1
"'round",1
"'rowing",1
"'rushmore'",1
"'safety",1
"'saturday",1
"'saving",1
"'say",1
"'sc",1
"'scarlet",1
"'scene'",1
"'search",1
"'semipro'",1
"'separable",1
"'separate",1
"'sesame",1
"'sesame'",1
"'sets",1
"'sexiest",1
"'shame'",1
"'she",4
"'sheep'",1
"'shock",1
"'should",2
"'shows",1
"'sideways'",1
"'significant",3
"'silent",1
"'similar'",1
"'singer",1
"'sitch'",1
"'skins",1
"'skyrim'",1
"'sleep",1
"'sleepless",1
"'smoking",1
"'snow",1
"'soft",2
"'some",1
"'something",1
"'son",1
"'sons",1
"'sorry",1
"'sorry'",1
"'specially",1
"'spike",1
"'spring",1
"'star",1
"'stars'",1
"'startling'",1
"'stay",1
"'staycations'",1
"'steam'",1
"'steering",1
"'stepup",1
"'stop",1
"'stop'",1
"'story'",1
"'strength",1
"'strives",1
"'summer",1
"'sunrise",1
"'superstar'",1
"'sweet",1
"'sweet'",1
"'take",2
"'taking",1
"'talent",1
"'tasty'",1
"'taxi",1
"'team'",1
"'teamwork",1
"'terrorism'",1
"'texas",1
"'thank",7
"'thanks'",1
"'that",4
"'that's",5
"'the",28
"'the'",1
"'there",2
"'there'll",1
"'there's",1
"'thing'",1
"'this",15
"'those",1
"'thou",1
"'thrill'",1
"'thunder",1
"'tickled",1
"'tiger",1
"'til",5
"'tim",1
"'tis",3
"'today'",2
"'tonight's",1
"'too",3
"'toom'",1
"'top",1
"'trajectory'",1
"'treat",1
"'treme'",1
"'trust",1
"'tryin'",1
"'turn",1
"'tween",1
"'twin",1
"'uh",1
"'ultimate",1
"'ultimate'",1
"'un",1
"'unexpected",1
"'unfounded'",1
"'unique",1
"'untold",1
"'up",1
"'upclose'",1
"'usa",1
"'victims",1
"'vote",1
"'was",2
"'way",1
"'we",14
"'we'd",1
"'we're",9
"'we've",1
"'well",9
"'were",1
"'what",14
"'what'll",1
"'what's",6
"'whatever",1
"'when",1
"'whenever",1
"'where",3
"'where's",1
"'which",1
"'whistleblower'",1
"'white",2
"'who",4
"'who's",1
"'whoa",1
"'why",8
"'will",2
"'wilt",1
"'woo",1
"'woohoo",1
"'would",1
"'wow",4
"'wow'",1
"'yeah",3
"'yeah'",2
"'yes",4
"'yes'",3
"'you",26
"'you'll",1
"'you're",6
"'you've",2
"'your",2
"'zaching'",1
"000",142
"0000",1
"000015931955",1
"0001",1
"0002",1
"0006",1
"001",111
"0015",1
"002",28
"003",10
"0035",1
"004",4
"0042",1
"005",6
"006",3
"007",2
"010",8
"011",5
"0110",1
"0116",1
"011689960596",1
"012",1
"014",2
"01452",1
"0146",1
"0149",1
"015",1
"0159",1
"016",2
"0161lk",1
"019",2
"020",1
"020412",1
"020512",1
"020612",1
"02072478210",1
"02074072985",1
"02076133222",1
"02082011",1
"021",2
"021012",1
"02102011",1
"021412",1
"021512",1
"022812",5
"02282011",1
"022912",1
"023",2
"0243",1
"0246",1
"025",2
"0256",1
"029",2
"030212",1
"03042011",1
"030912",2
"031",2
"03102011",1
"031412",4
"031512",1
"03152011",1
"031612",2
"031912",1
"031percentagepoint",1
"032112",2
"032312",1
"0324",1
"032612",1
"032812",2
"032912",2
"0330",1
"033012",1
"0331",1
"034",1
"036",1
"037",2
"0400",3
"040212",3
"040312",2
"041",1
"04122012",1
"04132012",1
"0418",1
"042",1
"0420",1
"0429",1
"043",1
"0446",1
"045",1
"050",1
"0501",7
"050112",1
"0502",7
"0503",7
"0504",7
"0506",6
"0507",5
"0508",8
"0509",7
"0510",7
"0511",6
"0512",1
"0513",1
"052",1
"0526",1
"054",1
"0546",1
"0551",1
"0552",1
"05767",1
"058",1
"05g",2
"060",1
"0600",1
"061",1
"062",1
"06205",1
"0626",2
"0633",1
"0648",1
"0658",2
"068",1
"070",1
"0700",1
"0709",1
"071",2
"0711",1
"07162011",1
"0721",1
"0725",1
"0734",1
"0743",1
"0746",1
"075",2
"0751",1
"0757",1
"080",1
"081",1
"0811",1
"082",1
"0836",1
"0846",1
"0849",1
"085",2
"0851",1
"087",1
"088",1
"091",3
"0922",1
"09281941",1
"096",2
"099",2
"09cvh1014836",1
"0for1",1
"0for12",3
"0for13",3
"0for14",2
"0for2",1
"0for3",3
"0for30",1
"0for4",1
"0for5",1
"0for6",1
"0for8",1
"0kent",1
"0pomona",1
"100",562
"1000",180
"10000",119
"100000",104
"1000000",1
"100000250000",1
"100000ayear",2
"100000th",1
"100000vote",1
"100009467",1
"10000aday",1
"10000foot",1
"10000meter",2
"10000plus",1
"10000squarefoot",3
"10000th",1
"10000year",1
"10000yearold",1
"1000bed",1
"1000mile",1
"1000page",1
"1000perhour",1
"1000point",2
"1000pound",1
"1000th",3
"1000watt",1
"1000yard",2
"1000yearold",1
"1001",8
"10019",1
"1002",3
"10021",1
"1003",1
"10033",1
"10035",1
"1004",2
"10046",1
"1005",4
"1006",4
"1007",1
"10072",1
"1007742479",1
"1008",2
"10081",1
"10084",1
"10085",1
"1009",2
"10091",2
"100acre",2
"100ahead",1
"100anight",1
"100degree",1
"100foot",2
"100im",2
"100k",1
"100m",2
"100member",1
"100meter",6
"100mg",1
"100mile",3
"100month",1
"100mph",1
"100percent",1
"100plus",1
"100plusdegree",1
"100plusquestion",1
"100plusyearold",1
"100point",1
"100seat",2
"100th",16
"100that's",1
"100w",1
"100yard",3
"100year",1
"100yearold",3
"101",65
"101's",1
"1010",6
"10100",1
"101000",2
"10101",1
"101045",1
"1011",5
"10119",1
"1012",17
"10124",1
"1013",4
"101311",1
"1014",5
"10143",1
"1015",21
"10151030",1
"101511",1
"10156",1
"1016",1
"10164",1
"10169",1
"1017",2
"10175",1
"1018",4
"10181",1
"10186",1
"1019",6
"101915",1
"10197",1
"10199",1
"101st",2
"101yearold",1
"102",35
"1020",13
"10200",2
"1021",1
"10212011",1
"102153",1
"1022",1
"1022660",1
"1023",1
"102300",1
"1024",1
"1025",8
"10250",1
"102500",2
"10252011",1
"10262011",1
"1027",1
"1028",1
"1029",5
"10296",1
"103",35
"103's",1
"1030",35
"10300",1
"103000",3
"10301",1
"103012pm",1
"10303",1
"1031",3
"10319272011",1
"1032",2
"1033",2
"1034",3
"1035",10
"10350",1
"1036",1
"10367",1
"10369",1
"1037",1
"1038",1
"10381",1
"10382",1
"10385",1
"10388",1
"1039",3
"10393",1
"10394",1
"103loss",1
"103rd",2
"103year",1
"104",23
"1040",4
"104000",1
"104015",1
"1041",3
"104100",1
"104247",1
"1043",3
"104306",1
"10431",1
"10439",1
"1044",1
"104400",1
"10446",1
"1045",8
"1046",2
"1047",1
"1048",3
"104800",1
"10487",2
"1049",1
"10491",1
"10494",3
"104998",1
"104pitch",1
"105",47
"105'",1
"1050",7
"10500",1
"105000",7
"10505",1
"1051",2
"10511022",1
"10514",1
"10515",1
"10522",2
"10523",1
"10528",1
"1053",2
"10534",1
"1053500",1
"1054",2
"10544",1
"10545",1
"1055",2
"10552",1
"105678",1
"1057",4
"1058",3
"10595",1
"10598",1
"105989",1
"105997",1
"105g",1
"105pitch",1
"105plus",1
"105th",1
"105yearold",1
"106",30
"1060",1
"10600",1
"10610",1
"106102",1
"10617",1
"1062",1
"10620",1
"10628",1
"1063",3
"10630",1
"106310",1
"1063423",1
"1064",1
"10643",2
"10644",1
"1065",1
"106500",1
"106532",1
"10687",1
"1069",2
"10691",1
"106pound",1
"106th",1
"107",23
"1070",33
"10700",2
"107000",3
"1071",1
"107102",1
"107104",1
"107144",1
"1072",2
"1073",1
"107355",1
"1075",2
"107500",1
"107585",1
"107600",1
"10772",1
"107736",1
"1078",2
"107914",1
"10797",1
"107acre",1
"107th",2
"108",24
"108'",1
"108's",1
"1080",2
"108000",6
"108000peryear",1
"1080p",2
"10810",1
"108101",1
"108104",1
"1082",1
"108211",1
"10825",2
"10829000",1
"10833",1
"1084",1
"1085",3
"10850",2
"1088",1
"10881",1
"10883",1
"10899",1
"108pitch",1
"109",30
"1090",2
"1090742",1
"109100",1
"109103",2
"10925",1
"109450",1
"1095",4
"10950",1
"1096",1
"109697",1
"1098",3
"1098c",1
"1098e",1
"1099",6
"10998",1
"1099c",1
"1099cs",1
"1099int",1
"1099misc",1
"1099s",1
"109a",1
"109mg",1
"109th",3
"10a",1
"10acre",3
"10am",1
"10anhour",1
"10april",1
"10by8",1
"10county",1
"10day",15
"10dvd",1
"10episode",1
"10flat",1
"10foot",3
"10footer",1
"10for22",1
"10for64",1
"10g",1
"10gallon",1
"10game",5
"10greatest",1
"10hour",2
"10inch",5
"10inning",1
"10item",1
"10k",8
"10man",1
"10member",1
"10meter",2
"10mile",5
"10minute",8
"10month",2
"10monthold",1
"10nanometer",1
"10of22",2
"10of23",1
"10ounce",2
"10part",1
"10percent",1
"10pitch",1
"10pitchperinning",1
"10plus",1
"10pm",1
"10point",6
"10pound",1
"10ranked",1
"10rebound",1
"10run",1
"10s",2
"10salmon",1
"10state",1
"10string",1
"10th",85
"10th''",1
"10thever",1
"10thlargest",1
"10thranked",2
"10throw",1
"10thseed",1
"10thseeded",1
"10thyear",1
"10time",1
"10times",1
"10to12",1
"10to70",1
"10u",7
"10way",1
"10week",2
"10yard",2
"10year",47
"10yearaffair",1
"10yearold",17
"10yearolds",2
"10yearsold",1
"11's",1
"110",48
"1100",29
"11000",11
"110000",8
"11001",1
"1100squarefoot",1
"1101",6
"110100",1
"110107",1
"110156",1
"1102",1
"11024",1
"11037",1
"11038",1
"1104",1
"1105",3
"110520",1
"11057",1
"11065",1
"1107",2
"11075",1
"11076",1
"1108",1
"1109",1
"11090",1
"11098",1
"110degree",1
"110high",1
"110horsepower",1
"110hurdles",1
"110meter",2
"110story",1
"110th",2
"110yearold",1
"111",28
"1110",13
"11100",1
"1111",5
"11111",3
"111145",1
"1112",5
"11125",1
"1112in",1
"1113",5
"11137",1
"11138",1
"1114",6
"11141",1
"1115",9
"11150",1
"111599",1
"1116000",1
"111612",1
"111650",1
"111690",1
"1117",6
"11170",1
"1118",1
"11182",1
"1119",1
"111986june",1
"111loss",1
"111th",1
"111year",1
"112",32
"1120",18
"112000",5
"1120000",1
"1120mg",1
"1121",2
"112103",1
"112275",1
"1123",2
"1124",1
"11242010",1
"1125",8
"112500",1
"11255",1
"1126",2
"11269",1
"11275",1
"1128",1
"11280",1
"11287",1
"1129",1
"11291",1
"112seat",1
"112story",1
"112th",3
"112year",1
"112yearold",1
"113",26
"1130",64
"11300",1
"1131",4
"113102",1
"113167",1
"11329",1
"1133",2
"1134",2
"11344",1
"1135",4
"11362",1
"1137",2
"1138",2
"1139",2
"114",25
"1140",7
"11400",1
"114000",2
"114014",1
"114076",1
"1140866",1
"1141",3
"11410",1
"1142",2
"1142010",1
"11421",1
"1143",1
"1144",8
"11443",1
"1145",10
"114500",1
"114687",1
"1147",2
"11474",1
"11475",2
"11478",1
"1148",1
"11490",1
"114900",1
"11492foot",1
"11496",1
"1149foothigh",1
"114inch",1
"114yard",1
"115",44
"1150",6
"11500",4
"115000",6
"11509",1
"11510",1
"11512",1
"11513",1
"1152",1
"1152000",1
"1152010",1
"11525",1
"1153",3
"11531",1
"11541",2
"11545",1
"1155",2
"1156",2
"1158",1
"115886",1
"1159",3
"115mile",1
"115th",1
"115unit",1
"116",17
"1160",5
"11600",1
"116000",1
"1162",1
"11624",1
"11628",1
"1163",3
"11632",1
"11635",1
"11641",1
"11645",1
"1165",2
"116600",1
"11682",1
"11689",1
"116943",1
"116foot",1
"116mile",1
"116th",2
"117",24
"1170",2
"11700",1
"117000",4
"11701",1
"1171494",1
"1172012",1
"11723",1
"1173",3
"11730",1
"1174",1
"1175",2
"11751",1
"1176",1
"1177",1
"117756",1
"1178",2
"1179",1
"117count",1
"117th",3
"118",25
"1180",1
"118000",3
"118073",1
"1181",2
"118109",1
"1182",1
"11831",1
"1184",3
"1185",1
"118500",1
"11855",1
"1186",2
"11861636",1
"1187",1
"11870",1
"1187mile",1
"118840",1
"118th",3
"119",23
"119000",1
"11901",1
"1194",1
"1195",1
"11950",1
"11951",1
"11954",1
"119800",1
"1199",8
"11991",1
"1199286",1
"1199316",1
"119995",1
"119mg",1
"119th",2
"11acre",1
"11am",1
"11billion",1
"11day",2
"11foot",1
"11for15",1
"11for26",1
"11g",3
"11game",2
"11goal",1
"11inch",1
"11inning",1
"11inninig",1
"11inspired",1
"11kobalt",1
"11marked",1
"11member",8
"11minute",1
"11month",1
"11on11",1
"11pm",1
"11pounder",1
"11room",1
"11run",2
"11state",1
"11team",1
"11th",45
"11thhour",1
"11thlargest",1
"11thseed",1
"11thseeded",1
"11turn",1
"11vehicle",1
"11week",2
"11year",7
"11yearold",21
"11yearolds",1
"12'",1
"120",76
"1200",50
"12000",18
"120000",20
"1200000",1
"12000peryear",1
"12000squarefoot",1
"1200seat",2
"1201",4
"120108",1
"12011",1
"1202",4
"1203",1
"12030",2
"12036",1
"1204",2
"120400",1
"1205",2
"120500",1
"120514",1
"120577",1
"12060",1
"1208",2
"1209",3
"12092",1
"12094",1
"120day",1
"120foot",2
"120foottall",1
"120million",1
"120pound",1
"120seat",2
"120th",2
"121",25
"1210",7
"12100",1
"121000",2
"1210acre",1
"1211",9
"1211150",1
"12112",1
"1212",6
"1213",3
"121300",1
"1214",5
"1215",3
"1215013",1
"1216",3
"12163",1
"1217",6
"121703",1
"1218",6
"1219",1
"12192",1
"12194",1
"12197",1
"121997june",1
"1219mile",1
"121pound",1
"121yearold",1
"122",22
"1220",5
"122000",3
"12203",1
"12207",1
"12209",1
"1221",2
"122110",1
"1222",1
"1223",2
"1224",4
"122426",1
"1225",4
"12250",1
"12250000",1
"12252",1
"12255",1
"122562",1
"1225811",1
"1226",2
"1227",3
"122990",1
"122bed",1
"122nd",1
"122yard",1
"123",26
"1230",27
"123000",7
"12303",1
"12309",1
"1231",5
"1231000",1
"1232",1
"1232346",1
"1233",3
"1234",1
"12349",1
"1235",3
"123625",1
"1237",1
"1238",1
"12381",1
"1239",1
"1239269",1
"12396",1
"124",25
"1240",7
"12400",2
"124000",1
"12402",1
"1241",1
"12417",1
"1242",1
"1243",1
"1244",1
"12442",2
"1245",3
"1246",1
"1247",2
"1248",2
"124800",1
"1249",1
"124900",1
"124mile",1
"125",81
"1250",20
"12500",2
"125000",16
"125015",1
"12501850",1
"1250aplate",1
"1251",3
"12519",2
"12525",1
"125417",1
"125458",1
"125500",3
"1256",1
"1257",2
"12571",1
"12578",1
"1258",1
"1259",1
"125mile",2
"125million",1
"125th",2
"125unit",1
"125yearold",1
"126",14
"12600",1
"126000",2
"126062",1
"1261",2
"1265",3
"12662",1
"1267",1
"1268",2
"126858",1
"1269",1
"12693",1
"126page",1
"126th",1
"127",21
"127'",1
"1270",2
"127000",3
"127000squarefoot",1
"12701110",1
"1271",1
"127122",1
"1271593",1
"1272",1
"1272012",1
"12731",1
"1274506",1
"1275",2
"127500",1
"1276",1
"12770",1
"12795",1
"12796",1
"127for417",1
"127th",2
"128",19
"12800",1
"128000",1
"128070",1
"1281",2
"128122",1
"128136",1
"1282",1
"12825",2
"12830",1
"12835",1
"1285",2
"128500",1
"12857",1
"1287",1
"12882",1
"1289",1
"128th",1
"129",20
"1290",1
"12900",2
"12905",1
"1291",1
"12929",1
"1294",1
"12941",1
"12944",1
"1295",4
"129600",1
"129736",1
"1299",6
"129925",1
"12999",2
"129x",1
"129yard",1
"12a",1
"12b",1
"12bar",1
"12car",1
"12day",1
"12driver",1
"12foot",3
"12foothigh",1
"12footlong",1
"12for18",1
"12for23",3
"12game",2
"12goals",1
"12hour",4
"12inch",10
"12inning",1
"12k",2
"12liter",1
"12member",1
"12mile",1
"12million",1
"12minute",4
"12month",3
"12nu",2
"12ounce",5
"12page",1
"12person",4
"12piece",1
"12pitch",3
"12plainfield",1
"12play",1
"12player",1
"12point",2
"12pound",1
"12saturday",1
"12screen",1
"12speaker",1
"12squarefoot",1
"12step",1
"12story",1
"12team",1
"12th",46
"12thgrade",2
"12thinning",1
"12time",1
"12to6",1
"12top",1
"12u",9
"12under",1
"12week",2
"12yard",4
"12year",14
"12yearold",19
"13'",1
"130",69
"1300",22
"13000",18
"130000",10
"13000squarefoot",1
"13003",1
"1300page",1
"1300seat",1
"1300student",1
"1301",2
"1302",1
"1303",1
"13030",1
"130300",1
"130330",2
"13034",2
"13043",1
"13056",1
"1306920",1
"1307",3
"13072",1
"1309",3
"130burlington",1
"130r",1
"130th",2
"131",19
"1310",7
"13100",2
"1311",3
"13113",1
"131133",1
"1311380",1
"1312",3
"13125",1
"1313",1
"131321",1
"13135",1
"1314",6
"1315",2
"1316",2
"13163",1
"13168",1
"1317",4
"1318",4
"13187",1
"1319",1
"131mile",1
"131seat",1
"131st",1
"132",20
"1320",6
"13200",1
"132000",1
"132000acre",1
"13203",1
"13206",1
"1321",1
"1321315",1
"1322",2
"13226",1
"1324888",1
"1325",2
"13260",1
"13275",1
"132761",1
"1327932",1
"1328",1
"1329",2
"132for552",1
"133",22
"1330",3
"133000",1
"13305",1
"1331",1
"133184",1
"13321",1
"1333",2
"133375",1
"1335",2
"13357",1
"1336",2
"13369",1
"13371",1
"1339",2
"133page",1
"133rd",2
"133year",1
"134",22
"1340",2
"13400",2
"134000",1
"13404",1
"1341",1
"13413",1
"1342",3
"13425",1
"1343",3
"13431",1
"1344",3
"1345",1
"134500",1
"1347",1
"134700",1
"134813",1
"13496",1
"135",24
"1350",8
"13500",3
"135000",6
"13500squaremile",1
"135027",1
"13505",1
"13510800",1
"13525",1
"1353",1
"13539",1
"1355",1
"1356",3
"1357",1
"1358",2
"135859",1
"135879",1
"1359",1
"135mg",1
"135mph",1
"135pound",1
"135th",2
"136",13
"1360",2
"13600",1
"136000",3
"13601",1
"1362",2
"1363",3
"13641",1
"1365720",1
"1367",1
"1367acre",1
"13681",1
"13684",1
"1369",2
"137",12
"13700",3
"137000",1
"13705",1
"13712",1
"1372",1
"13733",1
"1375",2
"13750",1
"137500",2
"1379",1
"13799",1
"138",17
"1380",2
"13800",2
"138000",2
"138001",1
"13812",1
"138155",1
"13818",1
"1382",1
"13845",1
"138507",1
"1387",1
"1388",1
"1389",2
"138th",2
"139",13
"1390",1
"139000",2
"1391",1
"1392",1
"13922",1
"13924",1
"1393",1
"13945",2
"1395",7
"13952",1
"13961",1
"1398",3
"1399",2
"13998",1
"13and",1
"13andup",1
"13aug",1
"13billion",1
"13by9",1
"13for14",1
"13hour",1
"13inch",2
"13member",3
"13mile",1
"13millionsquarefoot",1
"13month",2
"13monthold",1
"13oct",1
"13of18",1
"13of29",1
"13play",1
"13plus",1
"13point",1
"13room",1
"13second",1
"13th",37
"13thplace",1
"13thranked",1
"13thyear",1
"13u",2
"13week",1
"13wnet",1
"13yard",2
"13year",4
"13yearold",20
"13yearolds",1
"14''",1
"140",55
"1400",23
"14000",16
"140000",19
"14003",1
"1400yard",1
"1401",3
"14010",1
"1401squarefoot",1
"1402",1
"14025",1
"140325",1
"14039",1
"1404",1
"1405",1
"14050",1
"140504",1
"140552",1
"1407",2
"1408",1
"14081",1
"1409",1
"140acre",1
"140anight",1
"140atbat",1
"140character",1
"140home",1
"140th",2
"140yard",1
"141",22
"1410",4
"14100",1
"141000",2
"141000ayear",1
"14101",1
"1411",2
"141165",1
"1412",3
"1413",1
"141300",1
"14133",1
"1414",1
"1415",3
"1416",5
"14176903395",1
"1418",1
"1419",1
"141904",1
"142",25
"1420",1
"14200",1
"142000",2
"142011",1
"1421",4
"14215",1
"1422",2
"14220",1
"1425",1
"14254",1
"1426",1
"14264",1
"1428",1
"1429",3
"142nd",1
"143",17
"143000",2
"14315",1
"1432",3
"143333333",1
"1434219",1
"143500",1
"14359",1
"1436",1
"1437",1
"1439",1
"143yard",1
"143yearold",1
"144",12
"1440",1
"14400",3
"144017",1
"14402",1
"1441",1
"14415",1
"1442",1
"1443",2
"1444",2
"14445",1
"1445",1
"1446",1
"14462",1
"1448",1
"1449",1
"144acre",1
"144foot",1
"144th",2
"144yard",1
"145",33
"1450",7
"14500",1
"145000",6
"14504",1
"14505",1
"1451",1
"145150",1
"14523",2
"1453",1
"1456",1
"14560",1
"1459",1
"145mile",1
"145ounce",1
"145pound",2
"146",13
"1460",1
"1461",3
"14613",1
"146285",1
"1464",2
"14643",1
"1465",2
"1466",1
"1467",1
"14684",1
"147",11
"1470",1
"147000",1
"14705",1
"14707",2
"14710",1
"147118",1
"14717",1
"1472",1
"1474",2
"147500",2
"1478",1
"147833",1
"14786",1
"14793",1
"147yard",1
"148",13
"1480",1
"14800",1
"148000",2
"1481",1
"14820",1
"14845",1
"14849",1
"14858",1
"1486",1
"14860",1
"14865",1
"1488",2
"148horsepower",1
"149",20
"14900",3
"149000",2
"1491",2
"14915",1
"14921",1
"149229",1
"1495",5
"149565",1
"1496",1
"1499",7
"149ounce",1
"149th",1
"14a",1
"14by14foot",1
"14count",1
"14cubicfoot",1
"14day",1
"14foot",1
"14for32",1
"14game",1
"14hour",3
"14inch",9
"14karat",1
"14liter",1
"14mile",1
"14minute",1
"14month",2
"14monthold",1
"14ounce",3
"14page",1
"14point",2
"14pound",1
"14th",48
"14thlargest",1
"14thseed",1
"14time",1
"14u",8
"14under",1
"14week",1
"14yard",3
"14year",5
"14yearold",22
"150",132
"1500",68
"15000",41
"150000",35
"15000squarefoot",1
"15004",1
"1500gallon",1
"1500meter",1
"1500passenger",1
"1500person",1
"1500pound",1
"1500s",1
"1500seat",1
"1500squarefoot",3
"1501",1
"1502",1
"1503",1
"150350",1
"1505",1
"1506",2
"1507",2
"15080",1
"1509",1
"150employee",1
"150megawatt",1
"150plants",1
"150plus",1
"150pound",2
"150pounder",1
"150th",7
"150thwest",1
"150year",1
"150yearold",1
"151",14
"1510",3
"15101",1
"15106",1
"15108",1
"1511",3
"1512",3
"15129",1
"1513",3
"15130",1
"15132008",1
"1514",3
"1515",1
"15150",1
"1516",2
"1517",4
"1518",5
"151840",1
"1519",2
"151page",1
"152",15
"1520",10
"15200",1
"152000",2
